activation,optimizer,dropout,weight_init,train_time_s,test_acc,test_f1
gelu,adagrad,0.0,default,16.94,0.95,0.5738
gelu,adagrad,0.0,xavier,17.06,0.948,0.57
gelu,adagrad,0.0,kaiming,16.85,0.956,0.6089
gelu,adagrad,0.0,orthogonal,17.43,0.949,0.5678
gelu,adagrad,0.1,default,17.53,0.951,0.5709
gelu,adagrad,0.1,xavier,17.03,0.947,0.5569
gelu,adagrad,0.1,kaiming,17.42,0.957,0.6108
gelu,adagrad,0.1,orthogonal,16.29,0.948,0.5618
gelu,adagrad,0.2,default,17.54,0.95,0.5704
gelu,adagrad,0.2,xavier,20.77,0.947,0.5569
gelu,adagrad,0.2,kaiming,23.56,0.957,0.6107
gelu,adagrad,0.2,orthogonal,26.4,0.948,0.5647
gelu,adagrad,0.3,default,36.89,0.949,0.5663
gelu,adagrad,0.3,xavier,33.09,0.947,0.5539
gelu,adagrad,0.3,kaiming,24.48,0.957,0.6173
gelu,adagrad,0.3,orthogonal,31.84,0.947,0.5585
gelu,adamw,0.0,default,33.98,0.959,0.6769
gelu,adamw,0.0,xavier,34.29,0.952,0.5842
gelu,adamw,0.0,kaiming,34.37,0.953,0.608
gelu,adamw,0.0,orthogonal,33.12,0.956,0.6089
gelu,adamw,0.1,default,32.56,0.956,0.6734
gelu,adamw,0.1,xavier,32.53,0.942,0.5897
gelu,adamw,0.1,kaiming,33.86,0.95,0.6265
gelu,adamw,0.1,orthogonal,33.42,0.948,0.6034
gelu,adamw,0.2,default,33.56,0.956,0.6177
gelu,adamw,0.2,xavier,34.79,0.954,0.6043
gelu,adamw,0.2,kaiming,35.6,0.945,0.5927
gelu,adamw,0.2,orthogonal,34.85,0.944,0.5909
gelu,adamw,0.3,default,34.16,0.955,0.6132
gelu,adamw,0.3,xavier,32.9,0.953,0.6044
gelu,adamw,0.3,kaiming,34.19,0.954,0.6244
gelu,adamw,0.3,orthogonal,34.1,0.946,0.656
gelu,nadam,0.0,default,33.09,0.958,0.6764
gelu,nadam,0.0,xavier,35.49,0.954,0.6001
gelu,nadam,0.0,kaiming,33.93,0.957,0.6218
gelu,nadam,0.0,orthogonal,34.04,0.956,0.5973
gelu,nadam,0.1,default,35.63,0.957,0.6832
gelu,nadam,0.1,xavier,33.29,0.95,0.598
gelu,nadam,0.1,kaiming,34.88,0.957,0.6358
gelu,nadam,0.1,orthogonal,33.36,0.956,0.6123
gelu,nadam,0.2,default,35.51,0.958,0.6208
gelu,nadam,0.2,xavier,38.42,0.953,0.5912
gelu,nadam,0.2,kaiming,30.69,0.959,0.6379
gelu,nadam,0.2,orthogonal,35.88,0.954,0.6114
gelu,nadam,0.3,default,45.7,0.957,0.6865
gelu,nadam,0.3,xavier,56.46,0.951,0.591
gelu,nadam,0.3,kaiming,40.85,0.956,0.6266
gelu,nadam,0.3,orthogonal,30.94,0.949,0.6517
gelu,sgd,0.0,default,23.74,0.939,0.4677
gelu,sgd,0.0,xavier,26.02,0.939,0.5356
gelu,sgd,0.0,kaiming,34.76,0.955,0.6068
gelu,sgd,0.0,orthogonal,48.76,0.941,0.5178
gelu,sgd,0.1,default,40.45,0.94,0.4793
gelu,sgd,0.1,xavier,35.79,0.935,0.498
gelu,sgd,0.1,kaiming,39.8,0.955,0.613
gelu,sgd,0.1,orthogonal,40.92,0.933,0.4205
gelu,sgd,0.2,default,37.28,0.939,0.4728
gelu,sgd,0.2,xavier,38.16,0.937,0.4988
gelu,sgd,0.2,kaiming,41.77,0.955,0.6085
gelu,sgd,0.2,orthogonal,40.37,0.933,0.4205
gelu,sgd,0.3,default,30.63,0.939,0.4728
gelu,sgd,0.3,xavier,24.14,0.937,0.4988
gelu,sgd,0.3,kaiming,39.87,0.955,0.6085
gelu,sgd,0.3,orthogonal,33.28,0.933,0.4205
gelu,adam,0.0,default,41.51,0.959,0.6839
gelu,adam,0.0,xavier,33.78,0.952,0.5842
